Course Code,Course Title,Date of Exam,Time,Branch,School,Exam Type
MHND2C001T,भारतीय साहित्य शास्त्र,09-12-2025,10:00 AM to 01:00 PM,Hindi and Other Indian Languages,School of Languages,REGULAR
MHND2C002T,कथा साहित्य,11-12-2025,10:00 AM to 01:00 PM,Hindi and Other Indian Languages,School of Languages,REGULAR
MHND1C01,हिंदी साहित्य का इतिहास (आरम्भ से रीतिकाल तक),08-12-2025,02:00 PM to 05:00 PM,Hindi and Other Indian Languages,School of Languages,REGULAR
,,,,,,
IMAT2C001T,Introduction to Number Theory,11-12-2025,10:00 AM to 01:00 PM,Mathematics,School of Basic and Applied Sciences,REGULAR
IMAT2C002T,Multivariable Calculus,16-12-2025,10:00 AM to 01:00 PM,Mathematics,School of Basic and Applied Sciences,REGULAR
IMAT1C001T,Calculus,08-12-2025,10:00 AM to 01:00 PM,Mathematics,School of Basic and Applied Sciences,REAPPEAR
,,,,,,
BEECE1C02,Basic Electrical and Electronics,10-12-2025,10:00 AM to 01:00 PM,Electronics and Communication Engineering,School of Engineering,REGULAR
BEECE1C105,Basic Electrical and Instrumentation Engineering,08-12-2025,10:00 AM to 01:00 PM,Electronics and Communication Engineering,School of Engineering,REGULAR
BEECE2C301,Analog Communication,09-12-2025,10:00 AM to 01:00 PM,Electronics and Communication Engineering,School of Engineering,REGULAR
BEECE3C005,Computer Networks and Data Communication,09-12-2025,02:00 PM to 05:00 PM,Electronics and Communication Engineering,School of Engineering,REGULAR
,,,,,,
MMBA1C05,Business Environment and Ethics,25-11-2025,02:00 PM to 05:00 PM,HRM&OB,School of Business Studies,REGULAR
MMBA1001,Business Communications for Professionals,26-11-2025,02:00 PM to 05:00 PM,HRM&OB,School of Business Studies,REGULAR
MTTM1001,AI Applications in Tourism and Hospitality,27-11-2025,02:00 PM to 05:00 PM,Tourism and Travel Management,School of Business Studies,REGULAR
,,,,,,
MPHY1C01,Classical Mechanics,08-12-2025,02:00 PM to 05:00 PM,Physics and Astronomical Sciences,School of Basic and Applied Sciences,REGULAR
MPHY1C02,Quantum Mechanics,10-12-2025,02:00 PM to 05:00 PM,Physics and Astronomical Sciences,School of Basic and Applied Sciences,REGULAR
,,,,,,
BMSW1C01,Social Work Profession-I,08-12-2025,10:00 AM to 01:00 PM,Social Work,School of Humanities and Social Sciences,REGULAR
BMSW1E01,Understanding Society-I,10-12-2025,10:00 AM to 01:00 PM,Social Work,School of Humanities and Social Sciences,REGULAR
,,,,,,
IZOO4C001T,Cell and Molecular Biology,08-12-2025,02:00 PM to 05:00 PM,Zoology,School of Life Sciences,REGULAR
ICZOL5C001T,Animal Taxonomy,09-12-2025,02:00 PM to 05:00 PM,Zoology,School of Life Sciences,REGULAR
