Course Code,Course Title,Date of Exam,Time,Branch
BEECE3C001,Internet of Things,13/10/2025,10:30 AM to 12:30 PM,ECE
BEECA3C001,Internet of Things,13/10/2025,10:30 AM to 12:30 PM,ECE (Avionics)
BEECE3C002,Network Analysis and Synthesis,13/10/2025,02:00 PM to 04:00 PM,ECE
BEECA3C002,Network Analysis and Synthesis,13/10/2025,02:00 PM to 04:00 PM,ECE (Avionics)
BEECE3C006,Digital Signal Processing,14/10/2025,10:30 AM to 12:30 PM,ECE
BEECA3C006,Digital Signal Processing,14/10/2025,10:30 AM to 12:30 PM,ECE (Avionics)
BEECE3C003,Electromagnetic Field Theory,14/10/2025,02:00 PM to 04:00 PM,ECE
BEECA3C003,Electromagnetic Field Theory,14/10/2025,02:00 PM to 04:00 PM,ECE (Avionics)
BEECE3C004,VLSI Design,15/10/2025,10:30 AM to 12:30 PM,ECE
BEECA3C004,Material Science and Metallurgy,15/10/2025,10:30 AM to 12:30 PM,ECE (Avionics)
BEECE3C005,Computer Networks and Data Communication,15/10/2025,02:00 PM to 04:00 PM,ECE
BEECA3C005,Computer Networks and Data Communication,15/10/2025,02:00 PM to 04:00 PM,ECE (Avionics)
