course_code,course_name,department,duration_minutes,exam_date,school,slot
MMBA1C01,Management of Organizations,Tourism and Travel Management,180,2025-12-08,CUJ,AN
MMBA1C02,Managerial Economics,Tourism and Travel Management,180,2025-12-10,CUJ,AN
MMBA1C03,Accounting for Financial Decisions,Tourism and Travel Management,180,2025-12-12,CUJ,AN
MMBA1C04,Business Statistics Through SPSS,Tourism and Travel Management,180,2025-12-15,CUJ,AN
MMBA1C06,Tourism Principles and Practices,Tourism and Travel Management,180,2025-12-17,CUJ,AN
MMBA1006,Financial Markets and Financial Modelling,Tourism and Travel Management,180,2025-12-19,CUJ,AN
MTTM1002,Designing Thinking for Tourism Product Development,Tourism and Travel Management,180,2025-12-19,CUJ,AN
MMBA1004,Advance Excel for Business Decisions Problems,Tourism and Travel Management,180,2025-12-20,CUJ,AN
MTTM1003,Airport Operations and Cargo Management,Tourism and Travel Management,180,2025-12-20,CUJ,AN
MGBA2C004T,Tourism Resources and Products of India,Tourism and Travel Management,180,2025-12-09,CUJ,FN
MGBA2C005T,Transportation and Logistics Management,Tourism and Travel Management,180,2025-12-11,CUJ,FN
MGBA2C006T,Destination Management,Tourism and Travel Management,180,2025-12-13,CUJ,FN
MGBA2C007T,Tourism Policy and Corporate Governance,Tourism and Travel Management,180,2025-12-16,CUJ,FN
UGBA00053T,Entrepreneurship & Innovation Management,Tourism and Travel Management,180,2025-12-18,CUJ,FN
UGBA00056T,Events Planning & Management,Tourism and Travel Management,180,2025-12-20,CUJ,FN
MMBT20004T,Outbound Tourism Operations Management,Tourism and Travel Management,180,2025-12-10,CUJ,FN
MMBT20005T,Inbound Tourism Operations Management,Tourism and Travel Management,180,2025-12-11,CUJ,FN
MMBT20003T,Research Methodology,Tourism and Travel Management,180,2025-12-12,CUJ,FN
