course_code,course_name,department,duration_minutes,exam_date,school,slot
IZOO1C001T,Non-Chordates (Regular/Reappear),Zoology,180,2025-12-08,CUJ,FN
IZ001001,Vermiculture and Vermicomposting,Zoology,180,2025-12-12,CUJ,FN
IZOO1C002T,Cell Biology (Reappear),Zoology,180,2025-12-13,CUJ,FN
IBOT10001T,Introduction of Plant Biology,Zoology,180,2025-12-15,CUJ,FN
IMCM1001,Science Communication,Zoology,180,2025-12-17,CUJ,FN
IZOO2C001T,Biochemistry and Molecular Biology (Regular/Reappear),Zoology,180,2025-12-09,CUJ,FN
IZOO2C002T,Ecology (Regular/Reappear),Zoology,180,2025-12-11,CUJ,FN
IZOO2C005T,Applied Zoology,Zoology,180,2025-12-16,CUJ,FN
UIZO000006T,Biology of Insecta,Zoology,180,2025-12-18,CUJ,FN
UBOT00002T,Biostatistics (Reappear),Zoology,180,2025-12-18,CUJ,AN
IZOO3C001T,Form and Function in Non-Chordates (Regular/Reappear),Zoology,180,2025-12-09,CUJ,AN
IZOO3C002T,Developmental Biology (Regular/Reappear),Zoology,180,2025-12-11,CUJ,AN
UIZO00007T,Medical Entomology (Reappear),Zoology,180,2025-12-13,CUJ,FN
UIZO00009T,Himalayan Wildlife Ecology (Reappear),Zoology,180,2025-12-13,CUJ,AN
IZOO3C005T,Fundamentals of Endocrinology,Zoology,180,2025-12-16,CUJ,AN
IZOO3C006T,Livestock Management,Zoology,180,2025-12-18,CUJ,AN
UIZO000011T,Cognitive Neuroscience (Reappear),Zoology,180,2025-12-19,CUJ,AN
UCHE00013T,Chemistry,Zoology,180,2025-12-19,CUJ,AN
IZOO4C001T,Cell and Molecular Biology,Zoology,180,2025-12-08,CUJ,AN
ICZOL4C001T,Cytogenetics and Molecular Cell Biology (Reappear),Zoology,180,2025-12-08,CUJ,AN
IZOO4C002T,Biochemistry,Zoology,180,2025-12-10,CUJ,AN
IZOO4C003T,Human Physiology,Zoology,180,2025-12-12,CUJ,AN
17004E001T,Biostatistics and Bioinformatics,Zoology,180,2025-12-15,CUJ,AN
ICZOL4C003T,Non-Chordate Biology (Reappear),Zoology,180,2025-12-17,CUJ,AN
IZOO4E002T,Research Methodology,Zoology,180,2025-12-19,CUJ,AN
ICZOL5C001T,Animal Taxonomy (Regular/Reappear),Zoology,180,2025-12-09,CUJ,AN
ICZOLS C002T,Endocrinology (Regular/Reappear),Zoology,180,2025-12-11,CUJ,AN
ICZOL5C003T,Entomology,Zoology,180,2025-12-16,CUJ,AN
UZOL00005T,Research Methodology and Scientific Writing,Zoology,180,2025-12-19,CUJ,AN
MMBA1C01,Management of Organizations,Tourism and Travel Management,180,2025-12-08,CUJ,AN
MMBA1C02,Managerial Economics,Tourism and Travel Management,180,2025-12-10,CUJ,AN
MMBA1C03,Accounting for Financial Decisions,Tourism and Travel Management,180,2025-12-12,CUJ,AN
MMBA1C04,Business Statistics Through SPSS,Tourism and Travel Management,180,2025-12-15,CUJ,AN
MMBA1C06,Tourism Principles and Practices,Tourism and Travel Management,180,2025-12-17,CUJ,AN
MMBA1006,Financial Markets and Financial Modelling,Tourism and Travel Management,180,2025-12-19,CUJ,AN
MTTM1002,Designing Thinking for Tourism Product Development,Tourism and Travel Management,180,2025-12-19,CUJ,AN
MMBA1004,Advance Excel for Business Decisions Problems,Tourism and Travel Management,180,2025-12-20,CUJ,AN
MTTM1003,Airport Operations and Cargo Management,Tourism and Travel Management,180,2025-12-20,CUJ,AN
MGBA2C004T,Tourism Resources and Products of India,Tourism and Travel Management,180,2025-12-09,CUJ,FN
MGBA2C005T,Transportation and Logistics Management,Tourism and Travel Management,180,2025-12-11,CUJ,FN
MGBA2C006T,Destination Management,Tourism and Travel Management,180,2025-12-13,CUJ,FN
MGBA2C007T,Tourism Policy and Corporate Governance,Tourism and Travel Management,180,2025-12-16,CUJ,FN
UGBA00053T,Entrepreneurship & Innovation Management,Tourism and Travel Management,180,2025-12-18,CUJ,FN
UGBA00056T,Events Planning & Management,Tourism and Travel Management,180,2025-12-20,CUJ,FN
MMBT20004T,Outbound Tourism Operations Management,Tourism and Travel Management,180,2025-12-10,CUJ,FN
MMBT20005T,Inbound Tourism Operations Management,Tourism and Travel Management,180,2025-12-11,CUJ,FN
MMBT20003T,Research Methodology,Tourism and Travel Management,180,2025-12-12,CUJ,FN
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,